words,count
19,142
15,221
20,117
10,377
12,280
56,3
23,110
34,41
11,316
42,15
12,280
23,110
16,195
11,316
3,590
3,590
6,471
18,148
6,471
12,280
34,41
6,471
3,590
14,234
36,35
32,41
30,54
7,457
5,496
20,117
3,590
4,513
15,221
6,471
3,590
10,377
8,385
3,590
4,513
4,513
3,590
16,195
10,377
6,471
8,385
5,496
16,195
6,471
9,371
13,267
17,167
23,110
6,471
10,377
7,457
6,471
41,21
16,195
6,471
17,167
8,385
20,117
18,148
6,471
10,377
6,471
22,111
6,471
3,590
4,513
16,195
5,496
19,142
38,25
65,3
86,1
58,3
20,117
12,280
21,141
13,267
5,496
11,316
16,195
3,590
15,221
12,280
8,385
8,385
3,590
9,371
21,141
8,385
7,457
27,54
9,371
17,167
8,385
3,590
32,41
18,148
52,8
12,280
77,2
3,590
67,3
44,10
12,280
8,385
23,110
43,13
50,7
10,377
26,77
5,496
4,513
11,316
25,92
9,371
26,77
23,110
25,92
30,54
3,590
5,496
3,590
5,496
5,496
7,457
3,590
3,590
18,148
10,377
7,457
5,496
3,590
5,496
9,371
10,377
3,590
7,457
5,496
5,496
25,92
5,496
3,590
6,471
13,267
14,234
11,316
3,590
32,41
3,590
7,457
8,385
16,195
29,52
22,111
14,234
16,195
12,280
7,457
20,117
10,377
41,21
10,377
9,371
14,234
8,385
35,20
7,457
6,471
6,471
14,234
7,457
17,167
6,471
19,142
3,590
14,234
8,385
5,496
15,221
6,471
3,590
5,496
11,316
12,280
3,590
7,457
13,267
6,471
11,316
3,590
4,513
12,280
5,496
8,385
6,471
8,385
7,457
5,496
8,385
21,141
9,371
20,117
8,385
11,316
35,20
8,385
16,195
10,377
28,77
13,267
9,371
8,385
7,457
25,92
12,280
16,195
14,234
11,316
25,92
10,377
3,590
26,77
3,590
17,167
9,371
12,280
25,92
29,52
44,10
49,10
11,316
3,590
4,513
6,471
9,371
3,590
6,471
11,316
13,267
24,80
5,496
7,457
14,234
11,316
5,496
18,148
15,221
4,513
18,148
26,77
4,513
3,590
46,10
24,80
26,77
10,377
21,141
17,167
7,457
22,111
15,221
3,590
4,513
36,35
17,167
4,513
3,590
103,2
14,234
24,80
4,513
3,590
13,267
11,316
9,371
5,496
19,142
13,267
4,513
14,234
4,513
22,111
23,110
7,457
6,471
11,316
13,267
14,234
26,77
14,234
13,267
5,496
12,280
8,385
4,513
6,471
20,117
10,377
11,316
27,54
5,496
30,54
11,316
12,280
4,513
11,316
9,371
43,13
7,457
10,377
25,92
16,195
24,80
7,457
25,92
16,195
10,377
13,267
8,385
8,385
19,142
6,471
6,471
3,590
11,316
6,471
12,280
4,513
7,457
5,496
15,221
21,141
3,590
7,457
13,267
7,457
5,496
3,590
30,54
5,496
6,471
28,77
18,148
6,471
3,590
10,377
10,377
21,141
3,590
4,513
5,496
21,141
6,471
5,496
8,385
4,513
6,471
13,267
4,513
31,50
12,280
15,221
6,471
5,496
10,377
6,471
4,513
17,167
10,377
4,513
3,590
10,377
5,496
6,471
23,110
32,41
8,385
10,377
44,10
11,316
5,496
9,371
9,371
5,496
11,316
16,195
31,50
23,110
10,377
5,496
9,371
6,471
13,267
3,590
15,221
11,316
5,496
10,377
6,471
19,142
10,377
5,496
17,167
9,371
14,234
6,471
21,141
16,195
36,35
3,590
5,496
29,52
5,496
6,471
21,141
13,267
11,316
16,195
17,167
27,54
17,167
17,167
11,316
22,111
7,457
5,496
13,267
4,513
12,280
8,385
10,377
27,54
20,117
10,377
11,316
6,471
28,77
19,142
17,167
28,77
7,457
45,11
20,117
22,111
7,457
17,167
15,221
26,77
34,41
7,457
23,110
10,377
22,111
5,496
3,590
17,167
11,316
8,385
32,41
15,221
8,385
6,471
7,457
48,7
4,513
5,496
18,148
9,371
191,1
22,111
37,25
19,142
10,377
13,267
21,141
24,80
38,25
6,471
6,471
9,371
3,590
28,77
3,590
11,316
10,377
27,54
11,316
4,513
13,267
15,221
51,10
11,316
10,377
8,385
5,496
9,371
33,25
266,1
14,234
30,54
9,371
31,50
32,41
9,371
3,590
10,377
22,111
19,142
5,496
7,457
18,148
13,267
32,41
16,195
12,280
16,195
15,221
55,5
17,167
77,2
11,316
42,15
4,513
7,457
12,280
7,457
35,20
5,496
15,221
12,280
13,267
13,267
15,221
28,77
3,590
33,25
7,457
19,142
7,457
25,92
14,234
12,280
3,590
4,513
4,513
6,471
16,195
6,471
6,471
12,280
11,316
25,92
34,41
3,590
8,385
7,457
28,77
124,1
37,25
49,10
151,1
13,267
38,25
9,371
3,590
4,513
10,377
6,471
7,457
10,377
4,513
6,471
34,41
7,457
5,496
3,590
13,267
8,385
9,371
3,590
5,496
7,457
6,471
5,496
4,513
23,110
4,513
4,513
6,471
3,590
14,234
321,1
5,496
5,496
7,457
6,471
27,54
17,167
12,280
7,457
4,513
8,385
3,590
4,513
4,513
5,496
24,80
13,267
10,377
5,496
19,142
9,371
3,590
4,513
18,148
8,385
10,377
11,316
6,471
31,50
11,316
45,11
5,496
4,513
29,52
3,590
50,7
28,77
11,316
27,54
11,316
31,50
12,280
98,1
6,471
21,141
4,513
6,471
4,513
6,471
15,221
14,234
8,385
6,471
4,513
38,25
11,316
20,117
8,385
18,148
14,234
12,280
11,316
6,471
9,371
10,377
13,267
8,385
20,117
14,234
9,371
26,77
23,110
8,385
5,496
10,377
16,195
3,590
8,385
3,590
7,457
4,513
16,195
4,513
5,496
4,513
7,457
9,371
3,590
22,111
4,513
15,221
4,513
11,316
34,41
16,195
25,92
19,142
12,280
7,457
3,590
12,280
7,457
6,471
9,371
3,590
33,25
18,148
11,316
6,471
13,267
20,117
16,195
4,513
17,167
6,471
7,457
26,77
42,15
12,280
9,371
18,148
9,371
9,371
28,77
11,316
24,80
8,385
28,77
5,496
15,221
9,371
14,234
8,385
7,457
6,471
9,371
10,377
9,371
4,513
3,590
7,457
4,513
8,385
14,234
11,316
5,496
3,590
7,457
13,267
11,316
21,141
46,10
17,167
4,513
5,496
5,496
12,280
3,590
14,234
5,496
20,117
7,457
21,141
10,377
5,496
5,496
5,496
7,457
9,371
7,457
9,371
4,513
16,195
11,316
30,54
5,496
10,377
6,471
33,25
4,513
11,316
41,21
7,457
8,385
6,471
5,496
7,457
16,195
11,316
21,141
13,267
20,117
16,195
13,267
4,513
3,590
16,195
8,385
21,141
8,385
28,77
13,267
20,117
12,280
9,371
11,316
15,221
11,316
19,142
19,142
55,5
13,267
37,25
29,52
20,117
14,234
15,221
17,167
14,234
3,590
9,371
3,590
4,513
17,167
5,496
7,457
5,496
5,496
20,117
9,371
10,377
8,385
3,590
25,92
38,25
20,117
25,92
24,80
11,316
8,385
6,471
5,496
19,142
5,496
10,377
4,513
14,234
9,371
5,496
10,377
9,371
22,111
7,457
3,590
