words,count
14,282
26,104
59,8
46,12
58,5
1,958
11,328
13,307
14,282
24,109
11,328
11,328
1,958
5,591
1,958
14,282
8,487
13,307
1,958
3,581
4,534
9,455
11,328
1,958
17,232
6,509
9,455
15,248
3,581
25,106
7,500
25,106
11,328
3,581
12,347
5,591
11,328
3,581
15,248
7,500
27,94
2,604
13,307
41,34
17,232
29,76
1,958
2,604
20,202
9,455
4,534
21,151
1,958
11,328
22,140
2,604
4,534
5,591
8,487
6,509
3,581
11,328
12,347
54,5
35,47
3,581
23,116
1,958
6,509
11,328
26,104
2,604
35,47
25,106
13,307
21,151
31,61
12,347
20,202
9,455
20,202
13,307
4,534
31,61
3,581
6,509
20,202
10,428
12,347
21,151
20,202
23,116
1,958
9,455
17,232
3,581
1,958
8,487
1,958
9,455
3,581
7,500
28,87
27,94
28,87
7,500
15,248
12,347
22,140
29,76
5,591
1,958
13,307
2,604
10,428
44,23
35,47
8,487
11,328
19,175
39,36
12,347
24,109
15,248
8,487
1,958
8,487
19,175
11,328
21,151
7,500
7,500
6,509
18,232
6,509
4,534
9,455
20,202
22,140
137,1
15,248
17,232
10,428
9,455
3,581
26,104
25,106
7,500
18,232
31,61
19,175
1,958
15,248
13,307
28,87
15,248
10,428
27,94
1,958
36,42
22,140
15,248
8,487
8,487
40,20
16,264
17,232
2,604
17,232
15,248
2,604
20,202
9,455
39,36
21,151
2,604
17,232
24,109
12,347
9,455
1,958
4,534
3,581
3,581
10,428
20,202
5,591
14,282
3,581
23,116
9,455
9,455
9,455
17,232
6,509
10,428
10,428
7,500
13,307
6,509
9,455
3,581
6,509
4,534
15,248
7,500
20,202
18,232
2,604
7,500
20,202
6,509
4,534
13,307
8,487
6,509
20,202
6,509
16,264
1,958
5,591
14,282
1,958
8,487
1,958
8,487
5,591
14,282
14,282
1,958
1,958
14,282
14,282
9,455
19,175
24,109
19,175
17,232
6,509
1,958
6,509
6,509
10,428
11,328
14,282
6,509
1,958
12,347
12,347
11,328
7,500
12,347
2,604
5,591
1,958
1,958
8,487
1,958
6,509
1,958
1,958
8,487
8,487
6,509
4,534
7,500
17,232
7,500
22,140
2,604
28,87
5,591
1,958
16,264
7,500
3,581
7,500
36,42
1,958
30,74
4,534
3,581
4,534
8,487
2,604
30,74
28,87
46,12
2,604
9,455
3,581
17,232
19,175
2,604
2,604
14,282
17,232
8,487
12,347
6,509
13,307
16,264
11,328
3,581
13,307
14,282
26,104
10,428
2,604
7,500
34,50
31,61
13,307
3,581
1,958
7,500
11,328
4,534
9,455
4,534
18,232
12,347
7,500
2,604
20,202
2,604
10,428
15,248
1,958
1,958
7,500
11,328
10,428
6,509
7,500
9,455
5,591
1,958
7,500
8,487
2,604
12,347
8,487
1,958
4,534
1,958
4,534
2,604
13,307
2,604
16,264
7,500
31,61
10,428
6,509
4,534
1,958
3,581
6,509
5,591
8,487
2,604
37,38
9,455
4,534
1,958
17,232
6,509
5,591
12,347
3,581
1,958
3,581
4,534
20,202
5,591
14,282
25,106
5,591
15,248
8,487
29,76
10,428
7,500
26,104
27,94
10,428
23,116
40,20
32,59
80,2
37,38
20,202
34,50
