words,count
13,253
8,371
7,350
2,692
12,283
1,773
2,692
2,692
13,253
9,354
9,354
19,150
11,288
4,454
43,28
9,354
1,773
12,283
3,524
13,253
1,773
2,692
10,319
24,107
44,21
16,194
8,371
8,371
19,150
16,194
52,13
23,120
9,354
24,107
23,120
24,107
1,773
6,417
5,443
7,350
46,10
3,524
14,245
20,157
8,371
6,417
7,350
12,283
3,524
6,417
10,319
3,524
6,417
2,692
8,371
12,283
12,283
13,253
5,443
9,354
5,443
1,773
1,773
3,524
22,107
6,417
3,524
15,188
9,354
2,692
1,773
1,773
1,773
1,773
1,773
22,107
12,283
3,524
17,195
14,245
8,371
16,194
11,288
1,773
1,773
42,37
21,127
12,283
7,350
2,692
3,524
7,350
9,354
15,188
2,692
9,354
2,692
1,773
1,773
2,692
11,288
14,245
9,354
30,61
9,354
9,354
13,253
28,73
3,524
4,454
1,773
3,524
13,253
5,443
2,692
13,253
3,524
2,692
6,417
8,371
10,319
3,524
3,524
9,354
5,443
5,443
1,773
7,350
4,454
6,417
19,150
13,253
9,354
11,288
11,288
13,253
11,288
5,443
8,371
2,692
21,127
28,73
20,157
18,181
9,354
10,319
10,319
62,5
1,773
3,524
3,524
11,288
22,107
36,46
2,692
13,253
2,692
2,692
4,454
1,773
10,319
9,354
1,773
17,195
14,245
30,61
6,417
5,443
4,454
10,319
14,245
34,49
10,319
1,773
2,692
19,150
7,350
2,692
4,454
39,26
9,354
2,692
2,692
24,107
3,524
5,443
19,150
5,443
7,350
12,283
19,150
3,524
3,524
26,82
24,107
43,28
1,773
4,454
20,157
20,157
4,454
3,524
7,350
4,454
8,371
60,5
1,773
5,443
2,692
3,524
19,150
26,82
23,120
13,253
31,72
29,85
2,692
3,524
2,692
1,773
1,773
1,773
17,195
3,524
7,350
6,417
8,371
6,417
5,443
4,454
23,120
8,371
15,188
19,150
23,120
10,319
26,82
1,773
8,371
2,692
37,27
32,54
39,26
33,60
39,26
38,39
41,25
28,73
38,39
8,371
16,194
28,73
7,350
11,288
8,371
9,354
1,773
14,245
3,524
12,283
25,88
1,773
21,127
14,245
13,253
2,692
6,417
21,127
3,524
7,350
1,773
12,283
22,107
6,417
1,773
4,454
8,371
25,88
8,371
16,194
6,417
1,773
3,524
3,524
13,253
14,245
21,127
10,319
5,443
11,288
13,253
4,454
7,350
11,288
1,773
9,354
17,195
27,87
1,773
5,443
4,454
5,443
15,188
5,443
5,443
2,692
14,245
8,371
10,319
3,524
2,692
18,181
5,443
4,454
49,14
2,692
39,26
16,194
22,107
4,454
8,371
10,319
11,288
3,524
17,195
1,773
9,354
10,319
5,443
15,188
11,288
4,454
62,5
5,443
1,773
14,245
2,692
2,692
2,692
2,692
2,692
1,773
7,350
2,692
2,692
2,692
17,195
3,524
26,82
19,150
2,692
2,692
3,524
8,371
32,54
17,195
2,692
1,773
2,692
3,524
224,1
16,194
3,524
2,692
42,37
31,72
5,443
7,350
5,443
4,454
20,157
11,288
15,188
2,692
1,773
39,26
23,120
31,72
5,443
43,28
10,319
1,773
4,454
14,245
6,417
30,61
2,692
8,371
7,350
18,181
19,150
1,773
11,288
1,773
10,319
5,443
11,288
5,443
8,371
45,30
9,354
3,524
19,150
1,773
1,773
14,245
5,443
2,692
6,417
8,371
1,773
15,188
37,27
7,350
5,443
12,283
20,157
17,195
5,443
6,417
7,350
6,417
2,692
3,524
21,127
47,17
26,82
8,371
33,60
5,443
2,692
18,181
22,107
27,87
2,692
10,319
60,5
8,371
1,773
15,188
15,188
15,188
8,371
13,253
14,245
7,350
7,350
3,524
9,354
10,319
14,245
