androidNL,swingNL,javaNL,javascriptNL
,-1244.3319737926354,-1165.344796087472,-1129.3220510961269
,-938.4357547776826,-1472.242615699252,-1184.5588530785578
,-1111.8472947470418,-1276.8200367924146,-1179.0213110457255
,-1085.0028118727203,-1435.1167891515868,-1395.3536446462317
,-1112.1092916045448,-1142.6465397595239,-1145.843737681823
,-1093.4030497190902,-1280.0134753533591,-1244.5204741756318
,-1203.9235782073533,-1109.8249867567783,-1323.5943176846613
,-1168.5005800236654,-1269.650669461627,-1211.0799778265816
,-1195.8767509887234,-1124.650444430894,-1286.5048907611142
,-1383.6084818950585,-1266.1473595425753,-1226.0324405649935
,-1070.2282688397966,-1206.7374616175648,-1209.5996841500453
,-1112.1562418639292,-1505.2975411864288,-1316.9191547999558
,-1025.7375080811848,-1267.8720014117002,-1361.394655388033
,-1265.249094681752,-1245.550528347508,-1013.2702189991104
,-1096.3371994769132,-1254.0791613570782,-1250.1914084415835
,-1285.8837951636633,-1307.2309205301653,-1258.222381835256
,-1046.0435070413423,-1175.7870626132487,-1166.6658095157309
,-1200.6833948195724,-1336.7961011202206,-1214.5125350426524
,-1028.0090443725153,-1047.5510745367374,-1159.3197487528166
,-1187.792904400883,-1247.4257601333984,-1421.8198681914146
,-1421.874067656156,-1126.71387698144,-1155.7614675358386
,,-1164.943963787868,-1141.6727875758677
,,-1176.562051850989,-1257.6496579668421
,,-1182.7691224199345,-1199.5272440034523
,,-1074.1888455417377,-1291.221577278603
,,-1357.9060425841637,-1387.7670457035488
,,-1178.3532099430477,-1283.3774333628457
,,-1028.3205902251225,-1188.624924791074
,,-1085.9734566988357,-1127.8907203913739
,,-1268.386617277214,-1204.8814305898275
,,-1408.7190283117689,-1098.7835622376901
,,-1276.965071567195,-1305.530795309767
,,-1124.4251285795247,-1279.4262679154256
,,-1340.0725691822404,-1037.0902828649907
,,-1354.3500365347172,-1115.6068518832594
,,-1248.8713756868965,-1212.416616953006
,,-1332.1380449541732,-1127.9561476686163
,,-927.437196051881,-1136.6798353887477
,,-1316.163504954371,-1082.4547491410224
,,-1356.7342183857925,-1404.225000047157
,,-1309.7903449453374,-1065.4494557443722
,,-1166.6423341601717,-1382.5331191348168
,,-1134.996182175817,-1124.1839498457975
,,-1316.7076781534265,-1001.8817986524272
,,-1153.2823041381953,-1277.607161984624
,,-1219.9627296599315,-1066.365295080836
,,-854.3534813932993,-1299.3138556983736
,,-1261.6233227202574,-1173.0495591459733
,,-1330.9492805792695,-1080.142747071761
,,-1350.4110017929675,-1102.4110365909223
,,-1241.8870680209143,-1372.8959707365134
,,-1093.815689538119,-1218.4642205964576
,,-1216.3075264789554,-1289.3138118492873
,,-1211.6016279640687,-1396.9283416697056
,,-1250.1430741355134,-1296.0017856921258
,,-918.2727492508917,-1313.4853864348986
,,-1235.7673323487418,-1389.8986055198109
,,-1441.584092422603,-1326.5472312844054
,,-1248.1235218096217,-1078.9922043950364
,,-1408.6148129747448,
,,-1209.391052707482,
,,-1357.5238075104955,
,,-1253.1000628724487,
,,-1263.1532983564957,
,,-1188.3926991165713,
,,-1339.5602209660801,
,,-1354.247337947496,
,,-1293.6434039140026,
,,-1341.3709196979582,
,,-1383.382925435123,
,,-1313.2866922212356,
,,-1386.2178361114384,
,,-1416.6214648050086,
,,-1408.5936521491772,
,,-1258.4431060438337,
,,-1365.0464091982903,
,,-1270.3066083527156,
,,-1280.3434141695502,
,,-1222.0465627686071,
,,-1227.4658805105655,
,,-1089.491237135382,
,,-1066.4361379749248,
,,-1293.756689348028,
