fileName,count
2630651.txt,31
2630991.txt,0
2631019.txt,95
2631349.txt,50
2631464.txt,6
2631820.txt,197
2633359.txt,319
2634946.txt,241
2635432.txt,3
2636309.txt,20
2636453.txt,73
2636562.txt,0
2638118.txt,6
2638975.txt,6
2642745.txt,1788
2644398.txt,62
2644615.txt,81
2644660.txt,0
2645070.txt,25
2646524.txt,207
2647201.txt,90
2648314.txt,6
2649451.txt,0
2650079.txt,15
2650865.txt,0
2651988.txt,33
2652816.txt,7
2653255.txt,81
2653265.txt,234
2655009.txt,38
2655729.txt,177
2657433.txt,47
2658358.txt,20
2658369.txt,0
2659437.txt,0
2659489.txt,18
2659737.txt,21
2660910.txt,234
2661289.txt,0
2661294.txt,98
2661549.txt,65
2662245.txt,34
2662860.txt,6
2663431.txt,3
2665832.txt,39
2666602.txt,141
2667484.txt,119
2668958.txt,20
2669787.txt,37
2672813.txt,3
2672865.txt,25
2673121.txt,96
2673194.txt,73
2674934.txt,134
2676012.txt,64
2676178.txt,83
2677570.txt,19
2678133.txt,55
2678516.txt,0
2679141.txt,183
2681158.txt,0
2681538.txt,127
2682995.txt,150
2683144.txt,21
2683559.txt,162
2684264.txt,26
2685222.txt,5
2685678.txt,7
2685855.txt,99
2686118.txt,7
2686258.txt,69
2686503.txt,23
2686567.txt,34
2687064.txt,0
2687531.txt,13
2687566.txt,0
2689075.txt,229
2689326.txt,78
2691301.txt,16
2691903.txt,17
2692628.txt,39
2693249.txt,0
2694648.txt,21
2695793.txt,68
2696692.txt,50
2698011.txt,22
2698776.txt,98
2699040.txt,254
2701025.txt,190
2701838.txt,29
2701987.txt,167
2702000.txt,134
2703383.txt,133
2703468.txt,13
2704186.txt,59
2705583.txt,179
2706125.txt,1096
2706547.txt,0
2706763.txt,24
2707031.txt,0
2708765.txt,0
2709660.txt,43
2709869.txt,275
2709934.txt,197
2710967.txt,184
2711150.txt,10
2711235.txt,171
2711254.txt,11
2711459.txt,37
2711463.txt,23
2711688.txt,25
2713599.txt,110
2714201.txt,51
2715958.txt,14
2716270.txt,106
2716657.txt,2
2717767.txt,366
2718311.txt,33
2718799.txt,120
2718842.txt,83
2719300.txt,19
2722172.txt,146
2722255.txt,79
2723891.txt,205
2723965.txt,38
2724019.txt,6
2724047.txt,0
2725819.txt,14
2728855.txt,70
2742124.txt,279
