android,swing,java,javascript
-221.41163031149827,-182.89138433382448,-287.4123282532309,-49.77276010725667
-204.76407333963667,-232.9174848287622,-232.28469628030518,-95.8563907575786
-142.08689823929146,-196.701062106772,-450.62567724223163,-190.64252673224996
-171.4328384111783,-281.2474107999699,-299.8548817950614,-232.22013951369053
-204.79841685114056,-239.0771687389872,-183.5972009523609,-98.12314710352139
-202.45984397869026,-271.2765681097252,-286.997555067576,-145.37888149227814
-207.76625080240183,-227.19580841952697,-342.2073083047726,-109.60672160638674
-182.90615258651735,-219.98175451894048,-273.96345246117477,-49.77276010725667
-179.88724133068035,-274.56370817954206,-232.4746783891591,-78.5597481698095
-212.3520315669266,-283.27351519236583,-254.46145177040398,-111.41625663269124
-136.58618779485607,-244.43080174049965,-178.19417943006977,-171.5076565682087
-249.95147548974452,-276.37540057018225,-296.4980382901662,-122.44848635406339
-211.61455390840544,-193.52582243004244,-389.3778139196336,-112.94888675106978
-175.08434865942831,-161.96294003208297,-370.92622100003865,-120.11520857807994
-230.19312633568862,-163.30649112331352,-322.5754554936036,-75.82046977964193
-184.02351580869993,-305.25854989141,-220.5023417991935,-182.93811215101942
-202.3758647878398,-185.25807954018495,-169.34691502738391,-111.1702966649643
-203.40216516810483,-385.5430301039247,-137.30647546243722,-149.73725783617806
-167.48713588729035,-207.55860089968073,-329.0504620990842,-135.85086784936732
-140.84259633900442,-275.8770650924945,-391.1193738993472,-118.1456077664879
-244.33585812925543,-252.1319146185793,-329.46108575349234,-74.56919768793283
-247.45397911344776,-263.67779491433515,-224.45281944007039,-149.75040195136086
-132.04729753284258,-232.4581396981734,-221.07300438418812,-113.67297910910435
-191.77098986576493,-223.45197405124614,-301.3715879315046,-138.97253026599645
-204.23682348895588,-256.7741449872482,-282.4698762211083,-107.15337480605484
-218.16718477522045,-282.53012450423745,-382.8236143133178,-92.55312019262846
-197.80299307629343,-273.47719996136294,-283.7917257079843,-189.3099903942715
-151.53452163586775,-198.02346951175406,-335.3468250387777,-153.05031723181443
-219.9488986100036,-285.5930058526843,-192.351271319131,-98.72128363279877
-143.94325381087984,-237.65974930758597,-242.6469623283526,-106.61767009963906
-201.05538410955987,-261.7239623301991,-184.87500576062658,-237.83645506416536
-96.37489696712626,-282.26123024661354,-158.7773564322572,-119.55435974478637
-192.9449027279837,-235.16631867525695,-236.1475880701142,-126.27909108780564
-202.49057684120407,-207.1812258508955,-407.794145523737,-61.70426722949749
-208.00003367780192,-318.2519946256425,-331.1417715326461,-92.85365377828104
-161.3708080077552,-278.3327230123505,-276.1644461025547,-120.2111869917599
-220.81368998789736,-246.6357809048367,-221.61774316701104,-117.9871236064683
-147.8741071828789,-232.4803895341751,-237.58521504557433,-105.03924222914404
-214.94102613116738,-290.76432537001205,-339.7118657174363,-108.21989088491651
-202.0936551129925,-222.75176639268977,-291.07250354738966,-125.02453610477532
-264.17189943882545,-273.04138283574895,-246.537935933828,-171.16442041850593
-200.35983146967763,-262.7267210189679,-213.25219050258187,-103.66032231136278
-151.24013676010867,-313.39563584415754,-320.39471258322726,-129.11189188642643
-242.4090899795183,-216.48426337726985,-285.9267149796244,-150.67620104206344
-176.68624357859943,-287.59628303154506,-300.8324056961552,-107.15979354120914
-229.65517768962673,-264.91838235050926,-219.63325170280822,-148.4590065559093
-228.8506898052606,-242.1572378223801,-298.6931138269672,-160.86812190644065
-196.23868604944695,-260.46587631239856,-327.9817613664788,-92.89268306134136
