android,swing,swift,pel,matlab
-23961.887353211332,-175147.38001548097,-441975.3565501631,-14741.985888500363,-7949.204020542852
-38742.93327340443,-53791.85746836425,-46466.223753097176,-42739.14533920033,-42320.968476715185
-74150.33414472401,-108488.54907289115,-18770.846335501537,-51644.85626757048,-61357.35217145065
-156928.06132103567,-47957.80360450681,-44926.59363343566,-113704.56253105387,-24353.779855311
-96113.83436689443,-40522.37467071761,-14186.817298178717,-161885.81695948253,-17373.681870616023
-91320.11934736196,-47577.03191917823,-14469.79388989383,-15207.055846846994,-8639.689207538811
-155349.27314651472,-67757.93404888944,-13670.75947268458,-19534.989949195045,-236706.8823138395
-41825.19326426493,-65694.21008001511,-48858.194492284216,-10373.21271381903,-29099.857598194052
-80052.36612984267,-50941.55220632581,-25389.353902920688,-49403.947646085566,-22883.77264943685
-37964.90063466788,-28152.258295888405,-76139.87531121424,-161463.76113668818,-62136.88898883521
-208899.65028973168,-56072.55012395873,-30818.52396047021,-33395.17365502437,-149706.5296153993
-25363.614620426037,-166977.6242615012,-74928.41959053357,-214370.48393689448,-16161.985335090532
-5836.763976153848,-10726.276818365013,-27714.812163155453,-31497.076927680428,-101239.19168133479
-136591.26383880762,-109272.13952142329,-14112.603069325081,-71712.60871318128,-19951.402462737304
-48289.118683938774,-99366.24118309542,-87664.50830161308,-41297.18762231863,-25702.721381060335
-259243.25132822766,-26349.695098929147,-31403.33610098659,-131849.85757856048,-27010.875650659167
-35698.45128449609,-72679.2556360099,-15401.808560127029,-48788.438197825635,-97786.09045563682
-273547.509852757,-22626.91514162239,-18525.9842353754,-36539.221053389,-5867.491385573729
-38562.341878752275,-94808.18002888882,-612147.876285733,-19392.31684431875,-60387.18878023674
-106702.62468116132,-69239.57856011695,-184983.6204635687,-31966.7091603923,-13251.309645197065
-54004.45716169206,-61190.89188745887,-28976.920325900745,-81700.07594759023,-39160.088441135325
-15272.198360695224,-125760.53683545707,-20314.343183628527,-27670.29104884068,-179479.0176539122
-23745.955313310576,-66857.07151297518,-9468.047767822203,-79123.77541661276,-92476.11687448657
-48118.7936069127,-21222.669065925806,-89207.67488413863,-27713.213952135415,-6457.238630826801
-9663.620514465967,-40394.63606539041,-78092.65537512866,-137661.23802726791,-125967.61928171158
-25891.20387865459,-36956.58213757645,-57123.940022235874,-35583.001412176,-242411.491016833
-35038.44686305589,-75299.85080035042,-181381.53668915623,-10070.118288274542,-41616.76359283058
-72458.89535784486,-455583.3410863434,-15128.191626144997,-101943.59075750425,-38442.66831544526
-75165.89138880704,-155495.93875254664,-312220.1029808449,-51717.78362083789,-9546.969094241438
-36305.73760941736,-42149.54555916474,-99034.6370890873,-23630.23159545307,-77470.46740783787
-406313.4725995218,-43191.78150421815,-208952.66566714732,-389402.1989384535,-53782.55769444394
-18352.758360602136,-19430.237959726153,-8474.414743193842,-53447.47348888308,-46907.32145470001
-97600.90688823213,-53046.49667904699,-15478.19424118167,-119126.41379445637,-55744.90242627927
-64152.93019375476,-565113.2205931017,-21945.05252127638,-55080.23134668428,-56816.97364801882
-77662.7803133911,-114254.50494510803,-44034.5659354189,-88174.00858631718,-481960.47510588553
-82423.23052740119,-141691.32598405017,-69272.37544624406,-119800.96484572916,-60714.53130266492
-85117.5430893038,-72401.89244331932,-51850.02375029871,-61286.79545278194,-45666.95006016215
-28399.327954432476,-70275.53447456914,-434826.6093228091,-117430.14150700795,-14591.65243759335
-11967.013182024799,-41679.722867791956,-109787.74011370975,-34616.40028210607,-163045.86273826737
-64726.33232529361,-185748.26760389542,-176102.29375066166,-15331.195920292688,-93337.6890040508
-152625.20740826044,-95929.1107102651,-14564.209135994426,-45995.01158486418,-28673.83213764995
-43827.07084089391,-95583.02211579971,-115952.30975659148,-89410.90463228253,-28721.080716442353
-50005.53601269743,-59852.72994491448,-135296.92551435667,-31369.515393688267,-245240.99128117636
-124302.50669241155,-192901.15078071842,-182420.72325936338,-31497.09030080783,-29304.589170937663
-62237.776771179924,-76441.17858474943,-12437.441553802058,-20306.893343280957,-39579.59209258388
-77569.50210929997,-74260.95094946747,-182277.3022049737,-65071.588703367575,-19786.116359618147
-180113.49516269966,-161870.552127383,-672542.2576305716,-70653.54962311313,-41048.56564708192
-21921.274327212766,-86391.40691991895,-93083.0976465771,-28200.95694860382,-14991.884759657958
-67439.69119156533,-51117.16012410962,-29686.285761529743,-55154.68859967887,-28474.54361663408
-35292.74388256823,-68685.90902466464,-30756.097928983014,-95876.42299709465,-85576.83080714643
-42769.150223032026,-14982.548898735964,-74570.56183439944,-95628.47708968206,-34379.778355468145
-56096.84334306228,-76843.94184898312,-48684.20765235858,-31846.191395792124,-14884.961695128739
-72072.03676761953,-88272.74053753338,-210490.7917543546,-18615.93808197032,-125708.41491276305
-63865.8308101766,-137366.59543651104,-30311.692022127132,-33629.544317294916,-9475.567725256353
-20548.228199999496,-110510.95509810217,-31544.500860398075,-13555.298305941753,-57507.01713709036
-796739.1599810875,-25492.635535958296,-24732.715259350145,-227975.2182925407,-25030.999055418622
-239728.27618338904,-76321.71983984641,-434283.49584367935,-64773.606215870044,-81281.23150746063
-9717.599521331727,-86416.21896943921,-39856.8081174793,-50614.46403742,-16302.71000342357
-10139.05645674336,-38915.58760487402,-50791.75790237713,-37065.110636504054,-59628.1991688605
-46639.0852432497,-83858.04756097452,-75342.5272039554,-8309.59644006262,-32717.558913115274
-49143.11882392337,-270007.71767991007,-68059.04310875545,-207429.61346286983,-83329.42479474658
-88473.5070625986,-101091.8426223069,-93935.2263197103,-83867.49421254439,-25717.34358689382
-32209.31825915894,-81407.79754761088,-45771.040490742555,-53371.4282275468,-28611.533253205762
-68610.63208172526,-154486.08266703621,-133838.2745320383,-49407.15080100307,-41801.38020016774
-67735.62771357712,-463217.12168503634,-34747.92039137759,-45130.544242843825,-62854.951651895804
-32456.39870208538,-161271.82404240957,-24346.888840085838,-36529.88055855866,-34680.12227216121
